partID,ts,ctr,
1,2022-11-18 7:17,65,
2,2022-11-18 7:17,32,
3,2022-11-18 7:17,40,
4,2022-11-18 7:17,42,
5,2022-11-18 7:17,54,
6,2022-11-18 7:17,33,
7,2022-11-18 7:17,46,
8,2022-11-18 7:17,15,
9,2022-11-18 7:17,16,
10,2022-11-18 7:17,17,
11,2022-11-18 7:17,17,
12,2022-11-18 7:17,20,
13,2022-11-18 7:17,28,
14,2022-11-18 7:17,104,
15,2022-11-18 7:17,30,
16,2022-11-18 7:17,23,
17,2022-11-18 7:17,13,
18,2022-11-18 7:17,120,
19,2022-11-18 7:17,95,
20,2022-11-18 7:17,64,
21,2022-11-18 7:17,58,
22,2022-11-18 7:17,42,
23,2022-11-18 7:17,40,
24,2022-11-18 7:17,21,
25,2022-11-18 7:17,80,
26,2022-11-18 7:17,57,
27,2022-11-18 7:17,58,
28,2022-11-18 7:17,17,
29,2022-11-18 7:17,17,
30,2022-11-18 7:17,65,
31,2022-11-18 7:17,17,
32,2022-11-18 7:17,72,
33,2022-11-18 7:17,81,
34,2022-11-18 7:17,64,
35,2022-11-18 7:17,83,
1,2022-11-18 7:32,65,
2,2022-11-18 7:32,32,
3,2022-11-18 7:32,40,
4,2022-11-18 7:32,42,
5,2022-11-18 7:32,54,
6,2022-11-18 7:32,33,
7,2022-11-18 7:32,46,
8,2022-11-18 7:32,15,
9,2022-11-18 7:32,16,
10,2022-11-18 7:32,17,
11,2022-11-18 7:32,17,
12,2022-11-18 7:32,20,
13,2022-11-18 7:32,28,
14,2022-11-18 7:32,104,
15,2022-11-18 7:32,30,
16,2022-11-18 7:32,23,
17,2022-11-18 7:32,13,
18,2022-11-18 7:32,120,
19,2022-11-18 7:32,95,
20,2022-11-18 7:32,64,
21,2022-11-18 7:32,58,
22,2022-11-18 7:32,42,
23,2022-11-18 7:32,40,
24,2022-11-18 7:32,21,
25,2022-11-18 7:32,80,
26,2022-11-18 7:32,57,
27,2022-11-18 7:32,58,
28,2022-11-18 7:32,17,
29,2022-11-18 7:32,17,
30,2022-11-18 7:32,65,
31,2022-11-18 7:32,17,
32,2022-11-18 7:32,72,
33,2022-11-18 7:32,81,
34,2022-11-18 7:32,64,
35,2022-11-18 7:32,83,
1,2022-11-18 7:47,65,
2,2022-11-18 7:47,32,
3,2022-11-18 7:47,40,
4,2022-11-18 7:47,42,
5,2022-11-18 7:47,54,
6,2022-11-18 7:47,33,
7,2022-11-18 7:47,46,
8,2022-11-18 7:47,15,
9,2022-11-18 7:47,16,
10,2022-11-18 7:47,17,
11,2022-11-18 7:47,17,
12,2022-11-18 7:47,20,
13,2022-11-18 7:47,28,
14,2022-11-18 7:47,104,
15,2022-11-18 7:47,30,
16,2022-11-18 7:47,23,
17,2022-11-18 7:47,13,
18,2022-11-18 7:47,120,
19,2022-11-18 7:47,95,
20,2022-11-18 7:47,64,
21,2022-11-18 7:47,58,
22,2022-11-18 7:47,42,
23,2022-11-18 7:47,40,
24,2022-11-18 7:47,21,
25,2022-11-18 7:47,80,
26,2022-11-18 7:47,57,
27,2022-11-18 7:47,58,
28,2022-11-18 7:47,17,
29,2022-11-18 7:47,17,
30,2022-11-18 7:47,65,
31,2022-11-18 7:47,17,
32,2022-11-18 7:47,72,
33,2022-11-18 7:47,81,
34,2022-11-18 7:47,64,
35,2022-11-18 7:47,83,
1,2022-11-18 8:02,65,
2,2022-11-18 8:02,32,
3,2022-11-18 8:02,40,
4,2022-11-18 8:02,42,
5,2022-11-18 8:02,54,
6,2022-11-18 8:02,33,
7,2022-11-18 8:02,46,
8,2022-11-18 8:02,15,
9,2022-11-18 8:02,16,
10,2022-11-18 8:02,17,
11,2022-11-18 8:02,17,
12,2022-11-18 8:02,20,
13,2022-11-18 8:02,28,
14,2022-11-18 8:02,104,
15,2022-11-18 8:02,30,
16,2022-11-18 8:02,23,
17,2022-11-18 8:02,13,
18,2022-11-18 8:02,120,
19,2022-11-18 8:02,95,
20,2022-11-18 8:02,64,
21,2022-11-18 8:02,58,
22,2022-11-18 8:02,42,
23,2022-11-18 8:02,40,
24,2022-11-18 8:02,21,
25,2022-11-18 8:02,80,
26,2022-11-18 8:02,57,
27,2022-11-18 8:02,58,
28,2022-11-18 8:02,17,
29,2022-11-18 8:02,17,
30,2022-11-18 8:02,65,
31,2022-11-18 8:02,17,
32,2022-11-18 8:02,72,
33,2022-11-18 8:02,81,
34,2022-11-18 8:02,64,
35,2022-11-18 8:02,83,
1,2022-11-18 8:17,65,
2,2022-11-18 8:17,32,
3,2022-11-18 8:17,40,
4,2022-11-18 8:17,42,
5,2022-11-18 8:17,54,
6,2022-11-18 8:17,33,
7,2022-11-18 8:17,46,
8,2022-11-18 8:17,15,
9,2022-11-18 8:17,16,
10,2022-11-18 8:17,17,
11,2022-11-18 8:17,17,
12,2022-11-18 8:17,20,
13,2022-11-18 8:17,28,
14,2022-11-18 8:17,104,
15,2022-11-18 8:17,30,
16,2022-11-18 8:17,23,
17,2022-11-18 8:17,13,
18,2022-11-18 8:17,120,
19,2022-11-18 8:17,95,
20,2022-11-18 8:17,64,
21,2022-11-18 8:17,58,
22,2022-11-18 8:17,42,
23,2022-11-18 8:17,40,
24,2022-11-18 8:17,21,
25,2022-11-18 8:17,80,
26,2022-11-18 8:17,57,
27,2022-11-18 8:17,58,
